"","A1_FakiAligned","A2_FakiAligned","A2_UntxAligned","A3_FakiAligned","A3_UntxAligned","B1_FakiAligned","B1_UntxAligned","B2_FakiAligned","B3_FakiAligned","B3_UntxAligned","FAKinh_1_ItgB4Aligned","FAKinh_2_ItgB4Aligned","FAKinh_3_ItgB4Aligned","UnTx1_ItgB4Aligned","UnTx3_ItgB4Aligned"
"Rprl3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rprm",16,0,72,0,13,29,20,71,16,41,67,77,54,50,47
"Rprml",39,62,2,7,44,0,0,0,5,0,0,0,0,0,29
"Rps10",851,397,747,796,696,874,633,748,797,656,975,859,1134,762,885
"Rps11",6337,3577,6732,6979,6816,6532,5482,5787,5630,5691,8575,7342,8652,6356,8412
"Rps12",57,27,36,67,55,33,30,34,32,28,37,22,60,31,44
"Rps13",88,27,57,85,75,82,52,63,62,60,60,46,79,51,58
"Rps14",8881,3889,7324,8844,6917,7527,5875,6481,6451,5737,10168,9051,10987,7717,8445
"Rps15",3615,1806,3294,3529,3649,3235,2810,2857,2304,2866,3933,3684,4006,2979,3491
"Rps15a",639,369,1128,943,1036,1543,1051,1170,1327,988,1511,813,1759,1111,1227
"Rps15a-ps4",54,38,64,76,62,72,44,61,60,68,100,66,69,72,71
"Rps15a-ps6",63,24,55,48,73,46,35,37,28,32,56,42,72,43,51
"Rps16",210,75,145,158,171,157,113,134,86,99,204,115,220,122,127
"Rps17",526,271,461,619,568,599,456,478,462,481,654,662,744,497,701
"Rps18",3735,1881,3977,4358,3447,4829,3345,3346,3796,3199,5932,4564,6737,4119,4546
"Rps19",4573,1847,3421,4777,3317,3272,2747,2811,2788,2552,3891,2765,4286,2684,3795
"Rps19-ps3",30,14,20,32,27,21,3,23,19,24,21,23,16,19,38
"Rps19bp1",652,486,1075,479,797,1129,885,993,970,1044,1176,1197,1172,832,1050
"Rps2",6266,3323,5247,6294,5264,6010,4290,4757,5049,4431,6438,5248,7410,5338,5636
"Rps20",1719,737,1337,1982,1413,1449,1159,1306,1303,1111,1805,1394,2137,1208,1618
"Rps21",611,223,358,597,552,433,373,401,330,399,701,565,642,416,635
"Rps23",204,124,105,183,148,132,77,117,79,69,165,163,197,111,133
"Rps24",1957,1035,1853,2275,1978,2076,1546,1711,1661,1647,2780,2212,2911,1649,2119
"Rps25",1992,888,1502,2172,1554,1636,1371,1359,1285,1454,2211,2040,2433,1504,1729
"Rps26",1350,699,1483,1490,1521,1626,1418,1465,1271,1396,2311,1907,2350,1737,2110
